account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-1788ce,Company_0,FinTech,US,2021-08-11,other,Pro,89,False,True
A-f89626,Company_1,HealthTech,NL,2023-11-14,organic,Pro,148,False,True
A-df2118,Company_2,DevTools,IN,2021-01-04,other,Enterprise,176,False,False
A-ef6f7e,Company_3,FinTech,CA,2023-01-16,partner,Basic,171,False,False
A-e0e84b,Company_4,DevTools,GB,2022-09-08,other,Pro,171,False,False
A-a98afd,Company_5,DevTools,AU,2024-02-10,ads,Basic,108,False,False
A-8ae5b4,Company_6,Cybersecurity,DE,2024-06-14,other,Pro,104,False,True
A-9ccef5,Company_7,FinTech,AU,2022-03-07,partner,Enterprise,156,False,False
A-b00145,Company_8,DevTools,SG,2024-10-15,ads,Enterprise,122,False,False
A-a81600,Company_9,HealthTech,DE,2024-09-11,organic,Pro,132,False,False
A-891867,Company_10,HealthTech,GB,2022-04-27,event,Basic,51,True,True
A-800523,Company_11,HealthTech,SG,2024-06-05,organic,Pro,107,False,False
A-dec46e,Company_12,DevTools,IN,2023-10-10,partner,Basic,38,False,True
A-1b90d5,Company_13,FinTech,GB,2023-05-21,ads,Basic,179,False,True
A-39e2df,Company_14,EdTech,CA,2021-09-06,partner,Basic,119,False,False
A-275502,Company_15,DevTools,NL,2022-10-12,partner,Enterprise,185,False,False
A-83f776,Company_16,HealthTech,BR,2023-07-03,ads,Enterprise,122,False,False
A-a0ed92,Company_17,FinTech,AU,2023-12-04,partner,Enterprise,62,False,True
A-f3aa45,Company_18,FinTech,AU,2022-04-26,event,Pro,82,False,True
A-7af86f,Company_19,Cybersecurity,DE,2022-04-19,partner,Enterprise,40,False,True
A-adedd2,Company_20,EdTech,IN,2022-11-09,other,Pro,107,True,False
A-2e3f29,Company_21,Cybersecurity,IN,2024-04-11,organic,Enterprise,98,False,False
A-71e1df,Company_22,Cybersecurity,AU,2023-03-10,partner,Enterprise,192,False,False
A-7e8d26,Company_23,HealthTech,CA,2023-09-27,ads,Pro,112,False,False
A-fdeda5,Company_24,DevTools,IN,2021-12-05,partner,Basic,160,False,False
