usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-2c14a208,S-798c617b,2022-10-30,feature_39,11,3743,0,False
U-a7970655,S-18fc42c9,2023-02-05,feature_27,7,215,0,False
U-d66e0ba2,S-fd170de5,2023-03-04,feature_19,11,3360,0,False
U-ca4f2af8,S-1246d56e,2024-03-17,feature_18,8,3875,0,False
U-5096b421,S-11747297,2024-03-18,feature_1,7,721,0,False
U-8a61ff74,S-8354e9be,2024-12-29,feature_31,9,1274,0,False
U-bfbb0e5e,S-a50c3bf5,2023-10-03,feature_5,10,4871,0,False
U-1f651b61,S-ccbbde7c,2021-12-21,feature_16,11,1477,0,False
U-10ff423a,S-063660fd,2021-03-05,feature_32,8,5774,1,False
U-ba2e8a21,S-23dd1850,2024-03-11,feature_32,10,11171,1,True
U-836c86f6,S-666f1582,2024-02-28,feature_26,6,2594,0,False
U-99eac86c,S-eb37e078,2022-12-09,feature_27,5,5100,0,False
U-f80c9858,S-e6a0b1b3,2023-11-08,feature_31,5,566,1,True
U-0916a0b6,S-625e8730,2021-10-14,feature_12,7,135,0,False
U-c7018eff,S-06ece1cf,2022-04-27,feature_37,12,4156,0,False
U-67c09da7,S-de191bce,2024-03-15,feature_34,10,1450,0,True
U-c0cb24d9,S-b96bf03a,2021-07-08,feature_19,8,1777,1,False
U-263cbdea,S-196af4fb,2022-12-23,feature_37,10,2307,0,False
U-b279270f,S-07acda24,2023-05-08,feature_21,11,2002,0,True
U-4eca4cdf,S-c3eaab4b,2023-01-18,feature_30,10,1546,0,False
U-531f2f5d,S-161619f7,2021-02-10,feature_16,10,8878,0,False
U-78074b25,S-764fcd84,2022-11-28,feature_1,8,1284,0,False
U-01d0b3fd,S-580f238a,2024-11-15,feature_23,12,4064,0,False
U-67de56ac,S-cc1a21a4,2024-05-31,feature_17,9,7145,1,False
U-1f69ce27,S-e5e1f543,2023-02-15,feature_30,8,6828,0,False
U-de90d413,S-ad024d74,2023-04-24,feature_40,7,3027,0,False
U-a8cf44e0,S-f9d33ae8,2021-01-28,feature_8,11,2109,0,False
U-49ad4edb,S-ac97e762,2023-07-06,feature_33,11,8479,0,False
U-b9d91299,S-cbf4d79e,2022-01-26,feature_12,9,1931,0,False
U-e3a14ccb,S-1773c75d,2024-11-13,feature_15,9,5633,1,False
U-c958e309,S-e22a1daf,2022-04-27,feature_18,5,538,0,False
U-77fa87cf,S-f6f5ef68,2023-10-09,feature_26,12,368,0,False
U-903985f1,S-72119816,2021-03-15,feature_2,6,5056,0,False
U-1c38f2d2,S-0ad421f3,2023-12-21,feature_25,9,2737,1,False
U-8301ae1e,S-a7e7c1a4,2022-09-10,feature_33,9,4184,0,False
U-9aab5d5f,S-34be9949,2024-04-20,feature_25,6,267,0,False
U-dee93e32,S-6ce5d480,2024-10-16,feature_34,11,1157,0,True
