subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-82404e32,A-3f7dbc,2024-07-04,,Pro,155,4423,53076,False,False,True,False,monthly,True
S-9a40b924,A-393763,2024-12-14,,Pro,142,1510,18120,True,True,False,False,annual,True
S-070ecba2,A-3cccbc,2021-11-18,,Enterprise,42,268,3216,False,False,False,False,monthly,True
S-d35608c6,A-98ae9b,2021-01-28,2021-03-19,Pro,135,3747,44964,False,False,False,True,annual,True
S-9d7de8be,A-f4c25c,2022-09-10,2024-07-17,Basic,32,2190,26280,False,False,False,True,monthly,False
S-6506178a,A-a91287,2022-07-07,,Pro,19,656,7872,False,False,False,False,monthly,True
S-7864983c,A-816156,2024-01-15,,Pro,101,3698,44376,False,False,False,False,monthly,True
S-21de6cc4,A-ac7019,2023-11-16,,Enterprise,71,4396,52752,False,True,False,False,monthly,True
S-fe48ad7c,A-e71149,2023-02-11,,Enterprise,72,5918,71016,False,False,False,False,annual,True
S-8724e306,A-cfdab5,2021-02-05,,Pro,101,4593,55116,False,False,False,False,annual,True
S-d5471257,A-cb96b6,2024-03-29,,Basic,123,954,11448,False,False,False,False,monthly,False
S-957949fa,A-01c648,2021-06-21,2022-01-10,Pro,126,2786,33432,False,True,False,True,annual,False
S-3771abbb,A-b2adb9,2023-12-08,,Basic,127,803,9636,False,False,False,False,annual,True
S-172144f0,A-9201a1,2022-10-21,,Pro,105,1467,17604,False,False,False,False,monthly,True
S-cab0790f,A-6cb2ce,2023-09-28,,Enterprise,119,991,11892,False,False,False,False,annual,False
S-c5d29e8d,A-1f7327,2021-06-16,,Basic,180,4413,52956,True,True,True,False,annual,True
S-bb0e6015,A-7af86f,2021-09-06,,Pro,109,2446,29352,False,False,False,False,monthly,True
S-b86a5889,A-e0e84b,2024-01-26,,Enterprise,76,3838,46056,False,False,False,False,annual,False
S-dcd57d6c,A-9e9f30,2022-07-10,,Enterprise,43,699,8388,False,False,False,False,annual,True
S-62240568,A-7cb77a,2023-01-31,,Basic,121,851,10212,False,False,False,False,monthly,True
S-885ec00f,A-9e2b64,2021-10-05,,Basic,107,1556,18672,False,False,False,False,monthly,True
S-14dfdbcd,A-314379,2024-12-07,,Enterprise,25,8,96,False,False,True,False,annual,True
S-08354099,A-e9662a,2021-11-17,2023-09-29,Basic,4,799,9588,False,False,False,True,monthly,False
S-ad066b5f,A-0bf6e3,2024-04-11,,Pro,160,1532,18384,False,False,False,False,monthly,True
S-2d414b32,A-9a8bb2,2022-02-19,2022-08-24,Pro,68,3003,36036,False,True,False,True,monthly,True
S-f789d44c,A-321421,2023-02-24,,Pro,152,2757,33084,False,False,False,False,annual,True
S-37016bda,A-2109a3,2023-08-28,,Pro,24,3307,39684,False,False,False,False,monthly,True
S-2ed46599,A-118777,2021-01-01,,Enterprise,14,2021,24252,False,False,False,False,annual,True
S-6c0d0c72,A-1f44c7,2022-09-12,,Basic,99,3708,44496,False,False,False,False,annual,True
S-4943a7d0,A-e09af2,2021-06-10,,Pro,55,3550,42600,False,False,False,False,annual,True
S-3124eda5,A-c0e2d5,2023-06-15,,Basic,31,1168,14016,False,False,False,False,annual,True
S-7cd30cd5,A-a2a361,2023-01-19,,Basic,172,2197,26364,False,False,False,False,annual,False
S-ab42a284,A-a98afd,2022-01-27,,Enterprise,51,3288,39456,False,False,True,False,monthly,True
S-1cb0de57,A-c402fb,2021-07-12,,Pro,65,4694,56328,False,True,False,False,monthly,True
S-a2a0c13c,A-9175e6,2024-08-07,,Enterprise,71,4670,56040,False,False,False,False,monthly,False
S-16ec671c,A-9c8b42,2023-08-23,,Enterprise,117,2756,33072,False,False,False,False,monthly,True
S-a8baa38e,A-52d296,2021-08-01,2021-09-29,Enterprise,189,158,1896,False,False,True,True,monthly,False
S-128a0563,A-2810a5,2021-09-02,2023-07-16,Pro,16,146,1752,False,False,False,True,annual,False
S-8e9790cb,A-655235,2024-09-03,,Basic,82,5411,64932,False,True,False,False,annual,True
S-b20f8714,A-1ce57d,2023-01-21,,Enterprise,171,2358,28296,False,False,False,False,monthly,True
