ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-1f838d9d,A-7b6eee,2021-05-12 00:00:00,2021-05-12 20:44:03,20.73,medium,396,,False
T-9e62ea15,A-a481e9,2021-08-02 00:00:00,2021-08-04 03:13:05,51.22,low,418,2.6,False
T-4fe811b3,A-3f9994,2024-01-03 00:00:00,2024-01-03 16:12:15,16.2,low,352,3.9,False
T-fd3e4e59,A-1bf244,2022-04-24 00:00:00,2022-04-24 22:28:38,22.48,urgent,367,,False
T-4e392fca,A-715861,2024-11-29 00:00:00,2024-12-03 14:25:01,110.42,urgent,402,3.6,False
T-57d40e11,A-0ff5dc,2023-10-15 00:00:00,2023-10-19 15:45:45,111.76,low,93,4.9,True
T-546ba542,A-2312e2,2021-08-06 00:00:00,2021-08-10 23:22:41,119.38,urgent,130,,False
T-13742dce,A-6e303f,2024-06-22 00:00:00,2024-06-25 03:04:32,75.08,high,414,2.8,False
T-e271e1bf,A-2411d9,2022-11-10 00:00:00,2022-11-13 02:57:18,74.96,high,443,3.6,False
T-564ac1e6,A-40fc24,2024-05-17 00:00:00,2024-05-20 20:04:07,92.07,high,266,,False
T-57ced64c,A-10fde3,2024-08-20 00:00:00,2024-08-20 22:55:47,22.93,high,186,,False
T-466a0c03,A-d3154c,2022-08-12 00:00:00,2022-08-16 19:25:00,115.42,medium,47,,False
T-4efc6291,A-bf83ac,2021-03-04 00:00:00,2021-03-06 12:56:16,60.94,low,170,,True
T-3eb4d1c5,A-6e3d08,2023-05-26 00:00:00,2023-05-29 08:41:43,80.7,urgent,471,,True
T-9f506b74,A-f4fe1f,2024-10-30 00:00:00,2024-11-01 12:12:31,60.21,low,87,,False
T-d3193a3b,A-780b56,2021-05-25 00:00:00,2021-05-25 17:54:58,17.92,medium,422,,False
T-3c443ff4,A-5e8a5d,2021-12-01 00:00:00,2021-12-05 21:36:52,117.61,urgent,298,,True
T-bc34a03a,A-393763,2024-07-11 00:00:00,2024-07-14 18:58:42,90.98,low,356,3.7,False
T-fc114184,A-af8daf,2022-09-30 00:00:00,2022-09-30 13:34:19,13.57,high,224,4.3,False
